"country","variable","Unit","Date","Value"
"Korea","Total international arrivals","","1/1/2010 12:00:00 AM",8798
"Korea","Total international arrivals","","1/1/2011 12:00:00 AM",9795
"Korea","Total international arrivals","","1/1/2012 12:00:00 AM",11140
"Mexico","Total international arrivals","","1/1/2006 12:00:00 AM",97701
"Mexico","Total international arrivals","","1/1/2007 12:00:00 AM",93582
"Mexico","Total international arrivals","","1/1/2008 12:00:00 AM",92948
"Mexico","Total international arrivals","","1/1/2009 12:00:00 AM",88044
"Mexico","Total international arrivals","","1/1/2010 12:00:00 AM",81953
"Mexico","Total international arrivals","","1/1/2011 12:00:00 AM",75732
"Mexico","Total international arrivals","","1/1/2012 12:00:00 AM",76749
"Netherlands","Total international arrivals","","1/1/2006 12:00:00 AM",10739
"Netherlands","Total international arrivals","","1/1/2007 12:00:00 AM",11008
"Netherlands","Total international arrivals","","1/1/2008 12:00:00 AM",10104
"Netherlands","Total international arrivals","","1/1/2009 12:00:00 AM",9921
"Netherlands","Total international arrivals","","1/1/2010 12:00:00 AM",10883
"Netherlands","Total international arrivals","","1/1/2011 12:00:00 AM",11300
"Netherlands","Total international arrivals","","1/1/2012 12:00:00 AM",11680
"New Zealand","Total international arrivals","","1/1/2006 12:00:00 AM",2422
"New Zealand","Total international arrivals","","1/1/2007 12:00:00 AM",2466
"New Zealand","Total international arrivals","","1/1/2008 12:00:00 AM",2459
"New Zealand","Total international arrivals","","1/1/2009 12:00:00 AM",2458
"New Zealand","Total international arrivals","","1/1/2010 12:00:00 AM",2525
"New Zealand","Total international arrivals","","1/1/2011 12:00:00 AM",2601
"New Zealand","Total international arrivals","","1/1/2012 12:00:00 AM",2565
"Poland","Total international arrivals","","1/1/2006 12:00:00 AM",65115
"Poland","Total international arrivals","","1/1/2007 12:00:00 AM",66208
"Poland","Total international arrivals","","1/1/2008 12:00:00 AM",59935
"Poland","Total international arrivals","","1/1/2009 12:00:00 AM",53840
"Poland","Total international arrivals","","1/1/2010 12:00:00 AM",58340
"Poland","Total international arrivals","","1/1/2011 12:00:00 AM",60745
"Poland","Total international arrivals","","1/1/2012 12:00:00 AM",67390
"Slovak Republic","Total international arrivals","","1/1/2006 12:00:00 AM",7195
"Slovak Republic","Total international arrivals","","1/1/2007 12:00:00 AM",7425
"Slovak Republic","Total international arrivals","","1/1/2008 12:00:00 AM",7953
"Slovak Republic","Total international arrivals","","1/1/2009 12:00:00 AM",5676
"Slovak Republic","Total international arrivals","","1/1/2010 12:00:00 AM",5723
"Slovak Republic","Total international arrivals","","1/1/2011 12:00:00 AM",7785
"Slovak Republic","Total international arrivals","","1/1/2012 12:00:00 AM",8272
"Spain","Total international arrivals","","1/1/2006 12:00:00 AM",96152
"Spain","Total international arrivals","","1/1/2007 12:00:00 AM",98907
"Spain","Total international arrivals","","1/1/2008 12:00:00 AM",97670
"Spain","Total international arrivals","","1/1/2009 12:00:00 AM",91899
"Spain","Total international arrivals","","1/1/2010 12:00:00 AM",93744
"Spain","Total international arrivals","","1/1/2011 12:00:00 AM",99187
"Spain","Total international arrivals","","1/1/2012 12:00:00 AM",99195
"Sweden","Total international arrivals","","1/1/2011 12:00:00 AM",15381
"Sweden","Total international arrivals","","1/1/2012 12:00:00 AM",15981
"Turkey","Total international arrivals","","1/1/2004 12:00:00 AM",20754
"Turkey","Total international arrivals","","1/1/2005 12:00:00 AM",25045
