Destination;2012;2013;2014
Europe;540,229;566,445;581,769
Northern Europe;65,474;67,357;71,348
Denmark;8,443;8,557;..
Finland;2,778;2,797;2,731
Iceland;673;807;998
Ireland;7,55;8,26;..
Norway;4,375;4,734;4,811
Sweden;12,372;11,139;10,75
United Kingdom;29,282;31,064;32,613
Western Europe;166,174;170,757;174,485
Austria;24,151;24,813;25,291
Belgium;7,56;7,684;7,976
France;81,98;83,633;83,7
Germany;30,407;31,545;33,005
Liechtenstein;62;60;61
Luxembourg;950;945;1,038
Monaco;292;328;329
Netherlands;12,205;12,782;13,926
Switzerland;8,566;8,967;9,158
Central/Eastern Europe;118,211;127,35;121,066
Armenia;963;1,084;1,204
Azerbaijan;1,986;2,13;2,16
Belarus;119;137;137
Bulgaria;6,541;6,897;7,311
Czech Republic;10,123;10,3;10,617
Estonia;2,744;2,873;2,918
Georgia;1,79;2,065;2,218
Hungary;10,353;10,675;12,139
Kazakhstan;4,807;4,926;4,56
Kyrgyzstan;2,406;3,076;2,849
Latvia;1,435;1,536;1,843
Lithuania;1,9;2,012;2,061
Poland;14,84;15,8;16
Rep. Moldova;89;96;94
Romania;1,653;1,715;1,912
Russian Federation;25,727;28,356;29,848
Slovakia;6,235;..;..
Tajikistan;..;..;..
Turkmenistan;..;..;..
Ukraine;23,013;24,671;12,712
Uzbekistan;..;1,969;..
Southern/Medit. Europe;190,371;200,981;214,87
Albania;3,156;2,857;..
Andorra;2,238;2,328;..
Bosnia & Herzg.;439;529;536
Croatia;10,369;10,948;11,623
Cyprus;2,465;2,405;2,441
FYR Macedonia;351;400;425
Greece;15,518;17,92;22,033
Israel;2,886;2,962;2,927
Italy;46,36;47,704;48,576
Malta;1,443;1,582;1,69
Montenegro;1,264;1,324;1,35
Portugal;7,685;8,301;9,323
San Marino;70;71;75
Serbia;810;922;1,029
Slovenia;2,156;2,259;2,411
Spain;57,464;60,675;64,995
Turkey;35,698;37,795;39,811
Asia and the Pacifi;233,774;249,78;263,305
North-East Asia;122,758;126,989;136,276
China;57,725;55,686;55,622
Hong Kong (China);23,77;25,661;27,77
Japan;8,358;10,364;13,413
Korea (DPRK);..;..;..
Korea (ROK);11,14;12,176;14,202
Macao (China);13,577;14,268;14,566
Mongolia;476;418;393
Taiwan (pr. of China);7,311;8,016;9,91
South-East Asia;84,7;94,285;96,715
Brunei;209;225;..
Cambodia;3,584;4,21;4,503
Indonesia;8,044;8,802;9,435
Laos;2,14;2,51;..
Malaysia;25,033;25,715;27,437
Myanmar;1,059;2,044;3,081
Philippines;4,273;4,681;4,833
Singapore;11,098;11,898;11,858
Thailand;22,354;26,547;24,78
Timor-Leste;58;79;60
Vietnam;6,848;7,572;7,874
Oceania;11,942;12,491;13,206
American Samoa;22;20;..
Australia;6,032;6,382;6,868
Cook Is;122;121;121
Fiji;661;658;693
French Polynesia;169;164;181
Guam;1,308;1,334;1,342
Kiribati;5;6;..
Marshall Is;5;5;..
Micronesia FSM;38;42;35
N. Mariana Is;..;..;..
New Caledonia;112;108;107
New Zealand;2,473;2,629;..
Niue;5;7;7
Palau;119;105;141
Papua New Guinea;168;174;..
Samoa;126;116;..
Solomon Is;24;24;..
Tonga;49;51;..
Tuvalu;1;1;1
Vanuatu;108;110;109
South Asia;14,375;16,015;17,108
Afghanistan;..;..;..
Bangladesh;125;148;..
Bhutan;105;116;..
India;6,578;6,968;7,703
Iran;3,834;4,769;..
Maldives;958;1,125;1,205
Nepal;803;798;..
Pakistan;966;..;..
Sri Lanka;1,006;1,275;1,527
